time_s,fid_source_v,adc_differential_v
0.0187964,8.77105425e-08,-0.0002888199999997454
0.0188014,1.53325981e-07,-0.00029375999999992075
0.0188064,2.18255194e-07,-0.00029748999999990033
0.0188114,2.82207887e-07,-0.00030001000000012823
0.0188164,3.4489813e-07,-0.0003012899999998986
0.0188214,4.06045643e-07,-0.000301349999999978
0.0188264,4.65377047e-07,-0.0003001600000001048
0.0188314,5.22627085e-07,-0.00029773999999971323
0.0188364,5.77539809e-07,-0.0002941100000000141
0.0188414,6.29869725e-07,-0.00028927000000011915
0.0188464,6.79382887e-07,-0.0002832499999998461
0.0188514,7.25857947e-07,-0.00027607999999990085
0.0188564,7.69087144e-07,-0.0002677799999997177
0.0188614,8.0887723e-07,-0.00025839999999988095
0.0188664,8.45050337e-07,-0.0002479699999997642
0.0188714,8.77444769e-07,-0.00023654999999989101
0.0188764,9.05915728e-07,-0.00022418000000001825
0.0188814,9.30335958e-07,-0.00021091999999978128
0.0188864,9.50596319e-07,-0.00019682999999970363
0.0188914,9.66606267e-07,-0.00018196999999986474
0.0188964,9.78294265e-07,-0.0001664099999998392
0.0189014,9.85608101e-07,-0.00015022000000008973
0.0189064,9.88515121e-07,-0.00013346999999974685
0.0189114,9.87002372e-07,-0.00011622999999971739
0.0189164,9.81076665e-07,-9.858999999989848e-05
0.0189214,9.70764542e-07,-8.060999999992546e-05
0.0189264,9.56112154e-07,-6.239000000007877e-05
0.0189314,9.37185059e-07,-4.399999999993298e-05
0.0189364,9.14067927e-07,-2.55299999998293e-05
0.0189414,8.86864161e-07,-7.049999999786394e-06
0.0189464,8.55695434e-07,1.1350000000298621e-05
0.0189514,8.20701146e-07,2.958000000008454e-05
0.0189564,7.820378e-07,4.756999999999678e-05
0.0189614,7.39878302e-07,6.524000000007746e-05
